pretty_formula,task_id,spacegroup.number,final_energy_per_atom,density,formation_energy_per_atom,volume,band_gap,min_abc,max_abc,Dimension,Dim
KHgI3,mp-1190406,33,-1.9670564505,4.159090573297365,-0.7698330191000002,990.7947502318428,1.7724,8.495221,12.546216000000001,3.0,-1.0
Na2Zn(SnS3)2,mp-1190487,43,-4.04605036,3.0622635428687723,-1.0691293641287876,586.9392385632551,1.7283,7.564666517206426,13.688249537183195,3.0,-1.0
Ba2ZnSe3,mp-1190528,62,-4.1963869975,5.170500025659302,-1.5988170470052083,741.155699407809,1.6214000000000002,4.471876,17.91516,3.0,-1.0
Ba2ZnS3,mp-1190623,62,-4.576571250833333,4.3965410434107834,-1.9904621057291683,659.0848987546661,2.0968,4.299729,17.204321,3.0,-1.0
KBaSbSe3,mp-1190698,14,-4.0838973095833335,4.3474901830056005,-1.1428797345885418,817.480243939545,1.8064,9.3898,9.579764676273893,3.0,-1.0
Cs4In2S5,mp-1190726,2,-3.7219742768181816,3.766308891556669,-1.3174355238499216,812.6387395135861,2.1801,8.064949,11.324829760129154,3.0,-1.0
Rb6HgS4,mp-1190842,186,-2.989242582272728,3.6192943435898366,-1.1638931034090911,772.3074524429608,1.5961,8.095028999999998,10.495921923668543,3.0,-1.0
Cs2AgCl3,mp-1190886,62,-3.17220537125,3.579954681153509,-1.7747197583014562,890.6504085237669,3.3236,4.66225,14.00481,3.0,-1.0
Sr2ZnS3,mp-1190981,62,-4.50058977875,3.8744082500765686,-1.9909771592013887,577.4741175907378,2.4258999999999995,4.0963660000000015,16.522026999999998,3.0,-1.0
K6HgSe4,mp-1191206,186,-2.907540545909092,3.249078033726305,-1.0030205497613636,767.662521333688,1.3845999999999998,8.006648,10.521907459355317,3.0,-1.0
BaAl4Se7,mp-1191234,7,-4.542953040833333,4.052247710134636,-1.0952318330338542,653.9904229769843,2.3933,6.625186,14.914395703027994,3.0,-1.0
Li2In2GeS6,mp-1191476,9,-4.27841388,3.2593944109811965,-1.116397493674243,518.1722214385724,2.0329,7.169955893066289,12.336052316048029,3.0,-1.0
KBaAsSe3,mp-1191826,14,-4.138515260416667,4.083017594288178,-1.1091448245885414,794.2359513210475,1.6381,9.242685,9.557544676067435,3.0,-1.0
Li2In2SiS6,mp-1191903,9,-4.455740292727274,3.0712335679088767,-1.2207888004924248,501.73932809875237,2.1156,7.0834738970260895,12.236735820825588,3.0,-1.0
NaCdAsS3,mp-1192203,14,-3.8145149095833335,3.621194155299142,-0.9285765792013888,562.2278667782199,1.9277,5.767011,16.733991,3.0,-1.0
CdC2(NO)4,mp-1192278,18,-7.211961971818181,1.3869885966017248,-1.0147799913200002,614.073592729772,2.4484,6.85288,11.060562,0.0,1.0
Rb2TaCuS4,mp-11923,70,-5.406502011875,3.8217130043772376,-1.4302505228125,472.4675142300785,2.3516000000000004,7.468114211390785,13.994358443709984,3.0,-1.0
Hg3Bi2(TeCl4)2,mp-1192395,15,-2.7091956953333334,5.4857831293191275,-1.0419610694053332,943.5448218887816,3.0086,9.835837264583935,13.738147655246431,2.0,1.0
Rb2TaCuSe4,mp-11924,70,-4.95647965625,4.645868773783133,-0.9687673617968748,522.7446571907631,1.9707,7.713668734851983,14.490237466085155,3.0,-1.0
Rb2ZnBr4,mp-1192489,33,-2.8295940253571428,3.4405246622961703,-1.4340914660714286,1073.3180388531157,3.6356,7.896484,13.758163,3.0,-1.0
CsBaPS4,mp-1192526,62,-4.7446498664285714,3.34458458730129,-1.5847043620003518,852.8956674301622,2.714,6.9467490000000005,11.985407,3.0,-1.0
RbBaPS4,mp-1192550,62,-4.743668567857143,3.1003086263812087,-1.5715613919387759,818.4647765193408,2.6060000000000003,6.8325270000000025,11.727656,3.0,-1.0
Mg2SiSe4,mp-1192582,62,-4.143054849285714,3.8686428602624137,-0.9131234163392858,673.9526560827593,2.1315,6.294728,13.507876000000001,3.0,-1.0
Ba2SnSe4,mp-1192595,14,-4.482362582857143,4.979617241644998,-1.3636255220535711,945.9851157555637,1.2625000000000002,8.69993,12.60007976166774,3.0,-1.0
